acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.116,['Lil Baby'],0.466,182330,0.653,1,7Fos4vYGRc7HYzzrKCEzAE,0,1,0.14,-6.679,1,"Catch The Sun - From ""Queen & Slim: The Soundtrack""",64,2/28/2020,0.123,82.463,0.112,2020
0.0758,['Lauv'],0.796,169760,0.519,0,7fNxx7QvMQhdqLZKm4sEq3,0,11,0.444,-8.09,0,Believed,27,6/11/2020,0.0511,149.929,0.492,2020
0.145,['Eminem'  'Juice WRLD'],0.808,210800,0.745,1,7FIWs0pqAYbP91WWM0vlTQ,0,10,0.292,-5.26,0,Godzilla (feat. Juice WRLD),89,1/17/2020,0.342,165.995,0.829,2020
0.0149,['King Von'],0.82,196180,0.592,1,7fEoXCZTZFosUFvFQg1BmW,4.71E-06,1,0.121,-7.002,1,Took Her To The O,64,3/6/2020,0.29,159.98,0.4,2020
0.0844,['T-Pain'],0.722,152640,0.438,1,7F9zSVVD38CDt8ZMpe6fFg,0.000112,2,0.104,-8.386,1,Get Up,53,6/12/2020,0.0593,102.979,0.132,2020
0.281,['Drake'  'Future'],0.812,237946,0.506,1,7eYAHC0RbBF9eaqWzT34Aq,0,5,0.325,-7.706,0,Desires (with Future),78,5/1/2020,0.116,145.074,0.554,2020
0.697,['Thundercat'],0.648,181922,0.59,0,7eWGnKg4B44sbBPpQp4y2c,0.808,2,0.111,-9.664,1,Dragonball Durag,65,4/3/2020,0.0942,81.045,0.401,2020
0.114,['Selena Gomez'],0.753,162596,0.564,0,7eOkHIcaoUhngxxypM5Ajr,0.0273,10,0.359,-7.908,0,Look At Her Now,77,1/10/2020,0.252,77.342,0.55,2020
0.535,['Bruno Major'],0.806,235427,0.362,0,7EncNzyGs8uJiQittB38ef,0.045,7,0.111,-10.381,1,The Most Beautiful Thing,67,5/1/2020,0.0345,127.502,0.42,2020
0.283,['Future'],0.931,189342,0.574,1,7enaBBJnekyUCcXRuwGEH6,0,4,0.274,-5.695,0,Posted With Demons,70,5/15/2020,0.381,129.967,0.449,2020
0.731,['Powfu'  'beabadoobee'],0.726,173333,0.431,0,7eJMfftS33KTjuF7lTsMCx,0,8,0.696,-8.765,0,death bed (coffee for your head) (feat. beabadoobee),97,2/8/2020,0.135,144.026,0.348,2020
0.468,['Kevin Gates'],0.561,264205,0.616,0,7Ei6Vq7Jagn8loeV2bxa7x,0,7,0.117,-7.61,1,Dreka,61,2/5/2020,0.283,107.611,0.293,2020
0.111,['Foster The People'],0.433,276360,0.614,0,7egu63DOhNpivWOpGtzqGS,5.61E-05,8,0.141,-7.594,0,Lamb's Wool,67,5/22/2020,0.0499,178.751,0.233,2020
0.0883,['Delacey'  'G-Eazy'],0.677,192571,0.878,1,7E91ECLi2J4L21tEX0RBHn,0,11,0.154,-3.497,0,Cruel Intentions,68,2/28/2020,0.213,90.048,0.227,2020
0.122,['The 1975'],0.478,247265,0.456,0,7DmTaJoM7L020qm3egqNsM,1.98E-05,7,0.214,-6.844,1,Tonight (I Wish I Was Your Boy),75,5/22/2020,0.0529,171.9,0.268,2020
0.0387,['Eminem'],0.72,194707,0.767,1,7Dj2wqPYXfSRFwa6qyOztr,0,10,0.202,-5.839,0,In Too Deep,70,1/17/2020,0.214,88.966,0.595,2020
0.048,['Tory Lanez'  'Mansa'],0.709,169763,0.562,1,7DHNcoR73yUYCSn6PqBgkH,0,11,0.207,-10.326,1,10 F*CKS (with Mansa),72,4/10/2020,0.116,88.027,0.265,2020
0.036,['Charli XCX'],0.707,149390,0.771,0,7Dexi5Z2IowCkHrnzlWysc,6.87E-05,10,0.547,-4.246,1,claws,65,5/15/2020,0.038,135.049,0.629,2020
0.979,['Keira Barton'],0.134,189250,0.0413,0,7DEcoyUFy04Zhe89uthswA,0.815,9,0.0878,-28.929,1,Buoyant,65,1/24/2020,0.0607,144.693,0.0444,2020
0.306,['Keith Urban'],0.594,232165,0.6,0,7Ce11Oh1kConF6UlkBWnaZ,0,2,0.149,-6.712,1,God Whispered Your Name,74,2/27/2020,0.0498,145.967,0.5,2020
0.452,['Lauv'],0.532,160187,0.455,0,7cDpMO5wuWgvv3j4INRBeB,0,2,0.237,-8.366,1,Changes,72,3/6/2020,0.156,148.182,0.204,2020
0.0258,['Eminem'],0.847,173893,0.637,1,7ccTcabbJlCJiIqtrSSwBk,0.000648,1,0.382,-5.193,1,Premonition - Intro,70,1/17/2020,0.367,165.979,0.511,2020
0.139,['HAIM'],0.771,226027,0.658,0,7CbxeQuHA0uysmwrbuWoSI,0.0111,0,0.117,-6.93,1,I Know Alone,61,4/29/2020,0.0721,128.074,0.355,2020
0.406,['Nea'  'Felix Jaehn'],0.682,186878,0.7,0,7C1trmcQQ5n5RNy4l6ziCv,0,6,0.174,-5.591,1,Some Say - Felix Jaehn Remix,84,1/10/2020,0.0397,120.03,0.637,2020
0.359,['Yung Gravy'  'bbno$'],0.839,157500,0.454,1,7BYppcUTuG5ysmaJlGSt3t,0,10,0.0755,-9.09,0,Welcome to Chilis,72,1/17/2020,0.157,159.987,0.804,2020
0.476,['Jay Chou'],0.814,185008,0.595,0,7BYMjh3vWnHU4IFyfZdIDO,0,0,0.278,-7.726,1,Mojito,64,6/12/2020,0.0277,115.004,0.8,2020
0.0177,['OneRepublic'],0.582,259587,0.851,0,7Bs9YwzfP0MSuL5W07K63L,3.86E-06,9,0.535,-5.998,1,Counting Stars,1,6/12/2020,0.0734,128.022,0.428,2020
0.385,['Mt. Joy'],0.284,303827,0.45,0,7Bmd0vPLxSyFFLH7VXm7T2,0.0646,5,0.233,-8.696,1,Bug Eyes,59,6/5/2020,0.0423,82.974,0.182,2020
0.669,['Mac Miller'],0.505,254099,0.391,0,7BCzMKLKQwVSLtZcDGJTJt,0.052,3,0.113,-11.599,1,Floating,64,3/19/2020,0.0416,135.12,0.36,2020
0.0977,['YoungBoy Never Broke Again'],0.546,133046,0.796,1,7b0XnbCVKMogwyt5i66o6H,0,8,0.089,-3.182,0,Fire Stars,62,4/24/2020,0.13,80.05,0.588,2020
0.524,['Don Toliver'],0.652,154424,0.631,0,7AzlLxHn24DxjgQX73F9fU,0.000579,6,0.165,-5.718,0,No Idea,85,3/13/2020,0.0893,127.998,0.35,2020
0.646,['dvsn'],0.774,222090,0.391,1,7AOIpGjtubeC0uSiMEhOyR,0.00165,5,0.0751,-6.753,1,A Muse,66,1/17/2020,0.165,134.057,0.42,2020
0.0422,['G-Eazy'  'Jack Harlow'],0.764,178217,0.507,0,7ANlBL6oL7J9gs03prsv7J,1.42E-06,1,0.128,-6.879,1,Moana,67,4/29/2020,0.303,205.99,0.356,2020
0.471,['Pop Smoke'  'A Boogie Wit da Hoodie'],0.527,161120,0.554,1,7AdTyfK7fnvUYbUCGpWqUf,0,3,0.276,-7.917,0,Foreigner (feat. A Boogie Wit da Hoodie),66,2/7/2020,0.337,105.904,0.586,2020
0.135,['Gunna'],0.742,190640,0.542,1,7absBydFPWOevc81uVmFRv,0,11,0.116,-9.802,0,DON'T PLAY AROUND,68,5/22/2020,0.449,141.052,0.571,2020
